tariff_from,arpu_segment,n_customers,arpu_mean,be_push,be_sms,be_sms_vs_push,be_digital_ads,be_digital_ads_vs_sms,be_call,be_call_vs_digital_ads
tariff_1,HIGH,11,7512.58925,0.0,0.00082,0.0355,0.00345,0.1198,0.01775,0.52483
tariff_1,LOW,40,3305.48977,0.0,0.00186,0.08067,0.00783,0.27227,0.04034,1.19282
tariff_1,MID,32,5161.5333,0.0,0.00119,0.05166,0.00501,0.17437,0.02583,0.76389
tariff_10,HIGH,2950,8200.21574,0.0,0.00075,0.03252,0.00316,0.10975,0.01626,0.48082
tariff_10,LOW,370,2627.65829,0.0,0.00234,0.10148,0.00985,0.34251,0.05074,1.50052
tariff_10,MID,645,4656.89945,0.0,0.00132,0.05726,0.00556,0.19326,0.02863,0.84667
tariff_11,HIGH,1633,8680.77649,0.0,0.00071,0.03072,0.00298,0.10368,0.01536,0.45421
tariff_11,LOW,387,2758.754,0.0,0.00223,0.09666,0.00938,0.32623,0.04833,1.42922
tariff_11,MID,464,4437.50935,0.0,0.00139,0.06009,0.00583,0.20282,0.03005,0.88853
tariff_12,HIGH,567,9250.08298,0.0,0.00067,0.02883,0.0028,0.0973,0.01441,0.42625
tariff_12,LOW,363,2803.03596,0.0,0.0022,0.09513,0.00923,0.32108,0.04757,1.40664
tariff_12,MID,342,4394.91201,0.0,0.0014,0.06068,0.00589,0.20478,0.03034,0.89714
tariff_13,HIGH,516,7195.25421,0.0,0.00086,0.03706,0.0036,0.12508,0.01853,0.54798
tariff_13,LOW,251,3013.62981,0.0,0.00204,0.08849,0.00859,0.29864,0.04424,1.30834
tariff_13,MID,1022,4892.92685,0.0,0.00126,0.0545,0.00529,0.18394,0.02725,0.80583
tariff_14,HIGH,963,7901.9299,0.0,0.00078,0.03375,0.00328,0.1139,0.01687,0.49897
tariff_14,LOW,231,3125.49049,0.0,0.00197,0.08532,0.00828,0.28795,0.04266,1.26152
tariff_14,MID,755,4882.14573,0.0,0.00126,0.05462,0.0053,0.18435,0.02731,0.80761
tariff_15,HIGH,14,6923.09762,0.0,0.00089,0.03852,0.00374,0.13,0.01926,0.56952
tariff_15,LOW,14,3097.64715,0.0,0.00199,0.08609,0.00836,0.29054,0.04304,1.27286
tariff_15,MID,80,5027.27825,0.0,0.00122,0.05304,0.00515,0.17902,0.02652,0.78429
tariff_16,HIGH,2,4006.23458,0.0,0.00154,0.06656,0.00646,0.22465,0.03328,0.98418
tariff_16,LOW,8,2625.76598,0.0,0.00234,0.10156,0.00986,0.34276,0.05078,1.5016
tariff_16,MID,10,4720.71602,0.0,0.0013,0.05649,0.00548,0.19065,0.02824,0.83522
tariff_17,HIGH,27,8630.32959,0.0,0.00071,0.0309,0.003,0.10428,0.01545,0.45686
tariff_17,LOW,8,2914.63806,0.0,0.00211,0.09149,0.00888,0.30879,0.04575,1.35278
