scenario,seed,world,ceiling,agent,agent_campaigns,history_only,history_only_campaigns,known,known_campaigns,known_channels,known_channels_campaigns,known_channels_mix,known_milp_v1,milp_campaigns,milp_channels,milp_contacts,milp_budget,milp_seconds,history_milp,known_milp,history_milp_v2
mock,0,mock-0,6636079.831572308,4322268.321765412,3,4892532.684999331,8,5059177.266743584,9,5476525.588215455,9,"call,digital_ads,push,sms",5817986.339280389,10,"digital_ads,push,sms",14961,96902.0,10.7,5817986.339280389,6202426.675644062,6202426.675644062
mock,1,mock-1,6636079.831572308,4457386.076894892,4,4892532.684999331,8,5059177.266743584,9,5476525.588215455,9,"call,digital_ads,push,sms",5817986.339280389,10,"digital_ads,push,sms",14961,96902.0,10.7,5817986.339280389,6202426.675644062,6202426.675644062
mock,2,mock-2,6636079.831572308,3803245.707194184,3,4892532.684999331,8,5059177.266743584,9,5476525.588215455,9,"call,digital_ads,push,sms",5817986.339280389,10,"digital_ads,push,sms",14961,96902.0,11.0,5817986.339280389,6202426.675644062,6202426.675644062
mock,3,mock-3,6636079.831572308,4345999.888900835,4,4892532.684999331,8,5059177.266743584,9,5476525.588215455,9,"call,digital_ads,push,sms",5817986.339280389,10,"digital_ads,push,sms",14961,96902.0,11.6,5817986.339280389,6202426.675644062,6202426.675644062
mock,4,mock-4,6636079.831572308,4429374.867279577,4,4892532.684999331,8,5059177.266743584,9,5476525.588215455,9,"call,digital_ads,push,sms",5817986.339280389,10,"digital_ads,push,sms",14961,96902.0,11.4,5817986.339280389,6202426.675644062,6202426.675644062
random,0,random-0,9483583.814898295,188647.4198782646,1,423173.2090335112,8,2572705.196581532,9,2710689.4391109487,9,"digital_ads,sms",7854730.453477234,10,"digital_ads,push,sms",14748,99998.0,24.6,201322.92972032947,8674534.50374822,87928.92209825668
random,1,random-1,2685620.221570635,852095.5114755147,1,1080053.2463151177,8,1740395.237637749,6,1790216.049610508,6,"digital_ads,sms",2208453.992047688,10,"digital_ads,push,sms",14865,99130.0,8.5,1242118.294760039,2399411.3440078013,1244261.8418178405
random,2,random-2,8502838.177278988,5574540.8733246485,3,5446752.361692537,8,5913967.173533752,5,5913967.173533752,5,sms,7630096.738696476,10,"call,digital_ads,sms",15000,98898.0,20.4,4215320.727200089,7811973.983804048,4601723.303316452
random,3,random-3,3289801.983829868,-80567.82861773792,1,-626494.0399626889,8,1908971.544289236,10,2020066.9408116944,10,"digital_ads,push,sms",2413036.2155398503,10,"digital_ads,push,sms",14904,99094.0,12.7,-718454.4623845811,2735129.7445405694,-733221.9490692589
random,4,random-4,6384195.643435444,-151598.55905422103,2,-1184991.700227792,8,3940299.403594828,5,3940276.747073898,5,"digital_ads,sms",5541892.133970475,10,"digital_ads,sms",14981,98714.0,15.4,-520827.7729097872,5997907.262871886,-463386.84203668777
noise,0,noise-0,5325899.992108558,3074603.186150473,3,3794908.1252636574,8,3773406.1325617023,7,4159979.096159844,7,"digital_ads,push,sms",4353776.759075271,10,"digital_ads,push,sms",14707,99998.0,6.9,4114328.627030869,4942111.989236897,4259562.859979681
noise,1,noise-1,6628378.79752392,4642688.888674074,4,4246108.949956216,8,4830118.999804029,6,5068400.753894569,6,"call,digital_ads,push,sms",5514768.916817255,10,"digital_ads,push,sms",14700,99826.0,9.1,5134444.624671723,6256273.287777637,4989639.350633614
noise,2,noise-2,6273897.32074387,3871821.518428743,3,4791554.081922399,8,5002160.467043658,6,5278855.7480682405,6,"call,digital_ads,push,sms",5573467.919241404,10,"digital_ads,push,sms",14955,99744.0,8.8,5434860.841018271,5852694.019417135,5541382.861552034
noise,3,noise-3,9341362.050934296,4546680.363969061,4,6001966.833814537,8,6600353.889979736,7,6970650.039671458,7,"digital_ads,push,sms",8338449.725581482,10,"call,digital_ads,push,sms",14974,99688.0,3.8,4456716.049627808,8757837.26674036,5297353.607106012
noise,4,noise-4,7628319.812263418,4532761.126553921,5,4879318.522172345,8,5408468.7731533125,6,5674991.933679774,6,"digital_ads,push,sms",6681945.343387309,10,"digital_ads,push,sms",14661,97234.0,5.7,4842645.254100498,7056022.251720456,4856770.52611733
flip,0,flip-0,7401788.649650674,3441726.872819691,2,3406509.168697471,8,5643843.284806996,8,5953294.73994826,8,"digital_ads,push,sms",6743945.980869703,10,"digital_ads,push,sms",14987,99814.0,9.3,3757539.146410299,6862104.087754093,3075255.0577919255
flip,1,flip-1,7558448.0387297,1725779.8728704108,3,1828649.197837946,8,6021098.588523017,5,6021098.588523017,5,sms,6809798.85006822,10,"digital_ads,sms",15000,97296.0,7.7,918405.6973772136,7052711.953010002,1831018.8675700612
flip,2,flip-2,4065414.051054753,462973.3892242729,2,139855.0405899041,8,3127965.6566734584,9,3428468.561857706,9,"digital_ads,push,sms",3474844.363420707,10,"digital_ads,push,sms",14630,98746.0,10.9,446950.7464199667,3780790.672752471,327838.26431027194
flip,3,flip-3,6125895.111678861,989175.7606103942,2,-691957.9343491568,8,4327260.835854744,4,4587697.586104163,4,"digital_ads,sms",5407011.22130697,10,"digital_ads,push,sms",14994,99998.0,12.1,-568360.7521007226,5735145.340725239,-487674.1193673124
flip,4,flip-4,4804592.588395663,561276.0601650772,1,725156.2706721878,8,3647425.797395916,9,4131225.266160185,9,"digital_ads,push,sms",4100559.1842126856,10,"digital_ads,push,sms",14931,99594.0,8.3,591803.7091529032,4547580.6970688775,811074.1889423397
shift,0,shift-0,5657898.497987556,1504869.3831654526,3,2026626.7995117973,8,2513930.2988070925,6,2514012.801897602,6,"digital_ads,sms",4001850.610574585,10,"digital_ads,sms",12223,99994.0,3.1,2345907.3446821384,4879919.949609825,2259129.2012303453
shift,1,shift-1,5774945.552231509,2191338.098246245,4,1866869.6368430527,8,2204946.75989688,7,2370859.7115520723,7,"call,digital_ads,push,sms",3977951.250673292,10,"digital_ads,push,sms",13508,93848.0,5.0,2104466.38190942,5338443.096110415,2201984.198019255
shift,2,shift-2,5627916.02902051,1259854.0989102726,5,1464599.0229414783,8,2927243.0279046427,7,3113740.621271205,7,"digital_ads,push,sms",4626687.790385315,10,"digital_ads,push,sms",13266,99004.0,7.5,1654846.0873712238,5083309.764109062,1789715.7635186214
shift,3,shift-3,6044831.586039522,3177562.159611688,4,2380358.5673913145,8,3956833.8874177393,7,4541616.77116061,7,"digital_ads,push,sms",5153262.821073749,10,"digital_ads,push,sms",13455,99998.0,9.9,3668734.9348561177,5490803.322903163,3948335.4691504077
shift,4,shift-4,6782177.053675786,1157432.214596007,4,2738480.2450864506,8,3257324.36384348,8,3241284.3380291457,8,"digital_ads,sms",5543910.517609106,10,"digital_ads,push,sms",13717,94722.0,7.1,2478576.060456576,6140239.620907967,2787426.0203079474
stingy,0,stingy-0,1762751.8633088083,1135761.4016783535,3,1289751.1672462984,8,1363843.6391523075,7,1407824.5885821516,7,"digital_ads,push,sms",1527404.0054845451,10,"digital_ads,push,sms",14796,99998.0,10.1,1458241.2524104875,1627564.5118403656,1530106.762252425
stingy,1,stingy-1,1960964.3347557487,1256332.2548132949,2,1489884.1249444853,8,1530222.3434578583,7,1582578.364520469,7,"digital_ads,push,sms",1730484.2678307309,10,"digital_ads,push,sms",14878,98426.0,7.2,1643061.2390436956,1836862.441967125,1728616.0743878626
stingy,2,stingy-2,1726080.3678366723,899642.7608701098,3,1304636.015034147,8,1342849.0654888416,6,1409177.5014457875,6,"digital_ads,push,sms",1496193.582004213,10,"digital_ads,push,sms",14507,99566.0,8.2,1470271.5350568313,1608221.165190095,1570564.1722237268
stingy,3,stingy-3,2205914.589913318,1391269.9311945934,3,1696776.3591999663,8,1755693.6892674754,7,1834412.707783769,7,"digital_ads,push,sms",1980119.766313099,10,"digital_ads,push,sms",14466,99980.0,7.6,1707380.5108920778,2070178.1822897,1821536.6753226202
stingy,4,stingy-4,2223887.1391304755,633167.0488569505,4,1506959.5055564889,8,1710586.9029144668,6,1812433.2435783208,6,"digital_ads,push,sms",2003916.021601496,10,"digital_ads,push,sms",14072,99970.0,4.2,1885976.9534580268,2086456.3830567696,1954825.4091899795
unknown_rich,0,unknown_rich-0,4047040.039584796,908239.5197384384,2,1126402.701301361,8,1995864.808250172,6,2061150.2927677408,6,"digital_ads,push,sms",3320856.0628518285,10,"digital_ads,sms",14687,99986.0,11.0,1346715.848876438,3388944.5020813537,1409605.4710626984
unknown_rich,1,unknown_rich-1,4150699.313124565,993280.6365631728,2,1030342.5118542602,8,1466581.3145788563,10,1465825.6195834775,10,"digital_ads,sms",3405247.426500043,10,"digital_ads,sms",14777,98654.0,8.4,1452161.5850202926,3619304.9262130978,1529244.1038163719
unknown_rich,2,unknown_rich-2,4018134.155150237,659715.1252684813,3,955517.2895647034,8,1603633.1545422482,6,1683826.765645505,6,"digital_ads,push,sms",3115572.492431386,10,"digital_ads,push,sms",13401,99842.0,13.8,1022529.144504573,3555851.0779427765,1033943.6438357434
unknown_rich,3,unknown_rich-3,3931165.728165815,1185072.5189617453,3,1341433.728021935,8,1870862.4913822585,6,1870952.6553616,6,"digital_ads,sms",3064486.764249358,10,"digital_ads,sms",14639,97940.0,15.3,1445656.5989864245,3242940.908763106,1598046.0968061115
unknown_rich,4,unknown_rich-4,4193654.0042810272,764750.0519575742,4,1752092.61518022,8,2326740.680042589,6,2402797.3312292714,6,"digital_ads,push,sms",3484105.896652584,10,"digital_ads,push,sms",14266,99306.0,12.5,2042133.21043206,3711070.1518517584,2198130.33092042
high_rich,0,high_rich-0,10981766.704578562,6375028.02107035,3,7031824.8124748,8,8091453.984856143,4,8091453.984856143,4,sms,9731181.706482569,10,"digital_ads,sms",14992,99622.0,10.4,5378147.489489523,10062852.912015503,5527122.687298797
high_rich,1,high_rich-1,8278185.302198437,5472660.766282313,3,6379409.741545181,8,5638944.1051789,4,5638944.1051789,4,sms,7318391.860522268,10,"digital_ads,sms",14994,98622.0,6.5,4974364.003978441,7677697.662006004,5328197.162556887
