current_tariff,arpu_segment,data_segment,call_segment,n_customers,arpu_sum,arpu_mean,arpu_vs_cell_mean
tariff_1,HIGH,LITE,LOW,3,30883.23100796934,10294.41033598978,1.3702879258433425
tariff_1,HIGH,NON_USER,MEDIUM,3,23139.13110731889,7713.043702439631,1.0266824725263748
tariff_1,HIGH,HEAVY,LOW,1,6518.707217414075,6518.707217414075,0.867704462964903
tariff_1,HIGH,LITE,MEDIUM,3,19296.854199837155,6432.284733279052,0.8562007747820456
tariff_1,HIGH,NON_USER,LOW,1,2800.558176474392,2800.558176474392,0.37278201757980883
tariff_1,LOW,HEAVY,MEDIUM,1,5097.852171702644,5097.852171702644,1.5422380714362949
tariff_1,LOW,NON_USER,LOW,32,104362.0927095436,3261.3153971732377,0.986636057514798
tariff_1,LOW,LITE,LOW,7,22759.64601382189,3251.378001974556,0.9836297268700244
tariff_1,MID,NON_USER,MEDIUM,3,17242.992354864517,5747.664118288172,1.1135575011398884
tariff_1,MID,LITE,LOW,17,94943.67330387393,5584.921959051408,1.082027692083514
tariff_1,MID,LITE,MEDIUM,2,10615.913190219975,5307.956595109988,1.0283681788924814
tariff_1,MID,NON_USER,LOW,9,40020.54016401906,4446.726684891007,0.861512738666095
tariff_1,MID,HEAVY,LOW,1,2345.9464344261883,2345.9464344261883,0.45450572538078177
tariff_10,HIGH,LITE,HIGH,196,1725230.1774542208,8802.194782929699,1.0734101466518566
tariff_10,HIGH,HEAVY,HIGH,609,5331856.882505631,8755.101613309738,1.067667228282668
tariff_10,HIGH,LITE,MEDIUM,463,3937599.5768049443,8504.53472312083,1.0371110943891786
tariff_10,HIGH,HEAVY,MEDIUM,898,7447887.085518385,8293.860897013792,1.011419840315158
tariff_10,HIGH,NON_USER,MEDIUM,3,22842.23784288348,7614.07928096116,0.9285218242892703
tariff_10,HIGH,HEAVY,LOW,480,3543486.0149814235,7382.262531211299,0.9002522327292283
tariff_10,HIGH,LITE,LOW,301,2181734.465805919,7248.287261813684,0.8839142150963182
tariff_10,LOW,NON_USER,LOW,27,81536.91629484674,3019.8857886980277,1.1492688365588115
tariff_10,LOW,HEAVY,MEDIUM,4,10986.408066681734,2746.6020166704334,1.045266054763555
tariff_10,LOW,LITE,LOW,248,650905.8267669794,2624.620269221691,0.9988438286328553
tariff_10,LOW,HEAVY,LOW,86,221166.3097661391,2571.701276350455,0.978704606945531
tariff_10,LOW,,LOW,1,2043.871316673472,2043.871316673472,0.7778299493908876
tariff_10,LOW,LITE,MEDIUM,3,4710.179347798312,1570.0597825994373,0.597512921326002
tariff_10,LOW,LITE,HIGH,1,884.0566666666667,884.0566666666667,0.3364427822252511
tariff_10,MID,HEAVY,MEDIUM,86,486420.8202467066,5656.05604938031,1.214554041008409
tariff_10,MID,NON_USER,HIGH,2,11187.064540748399,5593.5322703741995,1.2011279879799375
tariff_10,MID,LITE,HIGH,16,89195.68300587748,5574.7301878673425,1.197090519983032
tariff_10,MID,HEAVY,HIGH,28,152984.3350776778,5463.726252774207,1.1732540733923065
tariff_10,MID,LITE,MEDIUM,55,280709.26605935785,5103.80483744287,1.0959662944842394
tariff_10,MID,NON_USER,MEDIUM,5,25154.695843720365,5030.939168744073,1.0803194742271098
tariff_10,MID,NON_USER,LOW,12,55231.88907891427,4602.657423242856,0.9883523296042008
tariff_10,MID,HEAVY,LOW,216,983783.1460440825,4554.551602055937,0.9780223189026623
tariff_10,MID,LITE,LOW,225,919033.2473778287,4084.5922105681275,0.8771055187404876
tariff_11,HIGH,LITE,HIGH,90,882295.1614994936,9803.279572216596,1.1293090643647765
tariff_11,HIGH,HEAVY,HIGH,317,3035012.111648258,9574.17069920586,1.1029163939210302
tariff_11,HIGH,HEAVY,MEDIUM,535,4737672.519372464,8855.462653032644,1.020123334190735
tariff_11,HIGH,LITE,MEDIUM,255,2191968.461806657,8595.954752182968,0.9902287848672222
tariff_11,HIGH,LITE,LOW,186,1432181.7546982924,7699.901906980066,0.8870061242480798
tariff_11,HIGH,HEAVY,LOW,250,1896577.9938451084,7586.311975380434,0.8739208971635037
tariff_11,LOW,LITE,MEDIUM,1,10175.675298998434,10175.675298998434,3.688504055306759
tariff_11,LOW,NON_USER,LOW,29,95479.23422507248,3292.3873870714647,1.193432757239141
tariff_11,LOW,HEAVY,LOW,102,280673.38027877396,2751.6998066546466,0.9974429802051068
tariff_11,LOW,LITE,LOW,252,678197.2981474894,2691.2591196328945,0.9755342898592972
tariff_11,LOW,,LOW,1,1933.2715368890235,1933.2715368890235,0.7007770682822563
tariff_11,LOW,HEAVY,MEDIUM,2,1178.9366666666665,589.4683333333332,0.21367194550605625
tariff_11,MID,LITE,HIGH,3,16926.25383766445,5642.084612554817,1.2714530069824108
tariff_11,MID,HEAVY,HIGH,19,102681.38883297185,5404.283622787992,1.2178641645127986
tariff_11,MID,LITE,MEDIUM,30,156166.9698081564,5205.56566027188,1.173082746236953
tariff_11,MID,HEAVY,MEDIUM,69,358735.9657133278,5199.071966859823,1.1716193817923986
tariff_11,MID,NON_USER,LOW,6,26691.104168488597,4448.517361414766,1.0024806723384303
tariff_11,MID,HEAVY,LOW,168,737642.6066292257,4390.729801364439,0.9894581510475104
tariff_11,MID,LITE,LOW,169,660160.0515942223,3906.2724946403687,0.8802849036243384
tariff_12,HIGH,,LOW,1,19080.95964443644,19080.95964443644,2.0627879422941278
tariff_12,HIGH,LITE,LOW,62,716017.3970464639,11548.667694297805,1.2484934150733507
tariff_12,HIGH,LITE,HIGH,27,296537.9677983971,10982.88769623693,1.1873285586018125
tariff_12,HIGH,NON_USER,MEDIUM,1,10876.545204365051,10876.545204365051,1.1758321761307777
tariff_12,HIGH,HEAVY,HIGH,105,1045243.7304437673,9954.702194702546,1.0761743664369976
tariff_12,HIGH,NON_USER,HIGH,1,9447.309810212031,9447.309810212031,1.0213216277780133
tariff_12,HIGH,LITE,MEDIUM,60,542139.3278928243,9035.655464880405,0.9768188545545157
tariff_12,HIGH,HEAVY,MEDIUM,197,1708520.946736312,8672.69516109803,0.9375802548129141
tariff_12,HIGH,HEAVY,LOW,110,882906.5155985756,8026.42286907796,0.8677136067899726
tariff_12,HIGH,NON_USER,LOW,3,14026.351703487257,4675.450567829085,0.505449580934582
tariff_12,LOW,LITE,MEDIUM,1,4995.653435636455,4995.653435636455,1.7822295192242472
tariff_12,LOW,HEAVY,MEDIUM,1,3608.139407216358,3608.139407216358,1.287225513912778
tariff_12,LOW,NON_USER,LOW,21,65854.52435267642,3135.9297310798297,1.118761861476363
tariff_12,LOW,HEAVY,LOW,79,222129.60893990094,2811.767201770898,1.0031149223513376
tariff_12,LOW,LITE,LOW,261,720914.1282157752,2762.1230966121657,0.9854040881613166
