current_tariff,arpu_segment,n_customers,arpu_sum,arpu_mean,arpu_p90,zero_arpu,heavy_data_share,high_call_share,history_switches,share_customers,share_arpu,cum_share_arpu,addressable_by_filters,fits_one_campaign
tariff_8,HIGH,4726,36988107.97242949,7826.514594250844,10823.4818414865,0,0.6512907321201862,0.28946254760897167,896.0,0.20161255919116078,0.24553798293141094,0.24553798293141094,True,True
tariff_10,HIGH,2950,24190636.44091341,8200.215742682512,11158.507866591215,0,0.6735593220338983,0.27288135593220336,676.0,0.12584787338424128,0.16058458794259936,0.40612257087401027,True,True
tariff_4,HIGH,2108,15794121.77170824,7492.467633637685,10348.303810103198,0,0.6152751423149905,0.27419354838709675,488.0,0.08992790409965445,0.1048460441634101,0.5109686150374204,True,True
tariff_11,HIGH,1633,14175708.002870273,8680.776486754607,12219.553566831792,0,0.6748315982853643,0.2492345376607471,497.0,0.06966426346998848,0.094102535664811,0.6050711507022314,True,True
tariff_8,MID,1720,8024489.894817886,4665.401101638306,7247.578725807137,0,0.38953488372093026,0.08604651162790698,770.0,0.07337570922742204,0.05326893347169109,0.6583400841739224,True,True
tariff_14,HIGH,963,7609558.492534343,7901.929898789556,11240.061711094415,0,0.656282450674974,0.2398753894080997,69.0,0.04108186510814385,0.050514496298328666,0.7088545804722511,True,True
tariff_4,MID,1227,5840537.244104053,4760.014053874534,7255.910677562276,0,0.31295843520782396,0.08720456397718011,670.0,0.05234418326863188,0.03877121087734557,0.7476257913495967,True,True
tariff_12,HIGH,567,5244797.051878841,9250.082983913298,13043.480900034763,0,0.7266313932980599,0.2345679012345679,365.0,0.0241883878674118,0.034816511565361766,0.7824423029149585,True,True
tariff_13,MID,1022,5000571.23814045,4892.926847495548,7227.537338454356,0,0.12035225048923678,0.13992172211350293,418.0,0.04359882257582868,0.03319526849637847,0.815637571411337,True,True
tariff_13,HIGH,516,3712751.1737852106,7195.254212762036,9937.067635777552,0,0.32751937984496127,0.3546511627906977,86.0,0.02201271276822661,0.024646338629079407,0.8402839100404164,True,True
tariff_14,MID,755,3686020.025355763,4882.14572894803,7667.7358744935,0,0.28344370860927154,0.06490066225165562,118.0,0.032208523527153275,0.024468889372369677,0.864752799412786,True,True
tariff_10,MID,645,3003700.1472749137,4656.899453139401,7364.193037286663,0,0.5116279069767442,0.07131782945736434,361.0,0.027515890960283264,0.019939448539579397,0.8846922479523655,True,True
tariff_11,MID,464,2059004.3405840572,4437.50935470702,7001.86256525446,0,0.5517241379310345,0.04741379310344827,252.0,0.01979437737297897,0.013668278815744526,0.89836052676811,True,True
tariff_12,MID,342,1503059.9061305257,4394.912006229608,7013.62401957426,0,0.5935672514619883,0.049707602339181284,144.0,0.014589821253359498,0.009977755495129866,0.9083382822632399,True,True
tariff_8,LOW,457,1312258.1647560755,2871.4620672999463,5161.429407192503,18,0.16411378555798686,0.002188183807439825,273.0,0.019495755300541786,0.008711157194081215,0.9170494394573211,True,True
tariff_11,LOW,387,1067637.79615389,2758.7539952296897,5161.429407192503,22,0.268733850129199,0.0,154.0,0.01650953457616996,0.007087294953404033,0.9241367344107251,True,True
tariff_12,LOW,363,1017502.0543512055,2803.0359624000153,5105.020808073053,15,0.22038567493112948,0.0,77.0,0.015485687470671047,0.006754479094745432,0.9308912135054705,True,True
tariff_10,LOW,370,972233.5682257855,2627.658292502123,5107.797391241425,11,0.24324324324324326,0.002702702702702703,129.0,0.01578430954310823,0.006453973516523392,0.937345187021994,True,True
tariff_4,LOW,299,857563.179026669,2868.1042776811673,5160.482500969044,10,0.17725752508361203,0.0,211.0,0.012755428522673947,0.005692757612025167,0.9430379446340191,True,True
tariff_13,LOW,251,756421.0833960543,3013.6298143269096,5161.429407192503,1,0.055776892430278883,0.00796812749003984,67.0,0.010707734311676122,0.005021346515001547,0.9480592911490207,True,True
tariff_5,HIGH,109,740120.0616143207,6790.0923083882635,8845.289196296037,0,0.6238532110091743,0.23853211009174313,101.0,0.004649972270807559,0.004913135518889194,0.9529724266679098,True,True
tariff_14,LOW,231,721988.3024613425,3125.4904868456388,5192.753474340623,2,0.07792207792207792,0.004329004329004329,104.0,0.009854528390427029,0.0047927715475084755,0.9577651982154183,True,True
tariff_7,HIGH,72,519437.624644454,7214.411453395194,10661.729071972837,0,0.6388888888888888,0.2638888888888889,86.0,0.0030715413164967365,0.0034481803370140117,0.9612133785524323,True,True
tariff_15,MID,80,402182.2596318361,5027.278245397951,6556.667537791868,0,0.0125,0.3,1312.0,0.003412823684996374,0.0026698045997488144,0.9638831831521811,True,True
tariff_5,MID,91,367820.61011102656,4041.9847264947975,5557.046636902247,0,0.31868131868131866,0.03296703296703297,188.0,0.0038820869416833752,0.0024417018235856065,0.9663248849757667,True,True
