current_tariff,arpu_segment,target_tariff,rank_in_cell,source,n_history,n_customers,arpu_mean,pct_prior,pct_sd_total,conv_prior,p_positive,base_prior,base_sd,ratio_sms,ratio_sd_sms,ev_contact_sms,best_channel_prior,best_ev_contact_prior,prior_value_sms,ei_contact_sms,explore_score
tariff_4,MID,tariff_8,1,history,408,1227,4760.014053874534,0.35917423405324245,0.1567454246581626,0.6091061505080018,0.9890312869509563,0.24790481918417717,0.18046919222498894,0.16113813246971517,0.11730497494624281,763.0197751709405,call,1256.03650800789,936225.2641347441,785.0523069817586,963259.1806666178
tariff_13,MID,tariff_8,1,history,234,1022,4892.926847495548,0.4413876213365414,0.16125550580365003,0.5600548244138273,0.9969017141425206,0.28011573303213616,0.1896023276534624,0.1820752264708885,0.12324151297475057,886.8807638632425,call,1484.7029486706012,906392.1406682339,905.7652652439106,925692.1010792766
tariff_8,MID,tariff_10,1,history,182,1720,4665.401101638306,0.3982367751534345,0.16394979260610948,0.23347484141634767,0.9924300813700893,0.10535818046816657,0.07506751013312206,0.06848281730430826,0.04879388158652934,315.49981129481455,call,429.84580546735003,542659.6754270811,324.1089049636099,557467.3165374091
tariff_8,LOW,tariff_9,1,history,26,457,2871.4620672999463,2.1161440797466957,0.3211409083883378,0.2035163524810654,0.9999999999779281,0.48801295865530203,0.2972576639196539,0.3172084231259464,0.19321748154777504,906.851954434186,call,1521.5728389554204,414431.34317642305,918.7338091914166,419861.3508004774
tariff_8,HIGH,tariff_10,1,history,283,4726,7826.514594250844,-0.057928960614862655,0.15311015221961355,0.33018858215132457,0.3525859471735585,-0.02167427592652415,0.06602319091945652,-0.014088279352240697,0.04291507409764674,-114.26212395819465,push,-84.8170184293805,-540002.797826428,84.54358962907475,399553.0045870072
tariff_8,HIGH,tariff_14,2,unseen_target,0,4726,7826.514594250844,-0.13557038547867412,0.29990716518241944,0.09221311475409837,0.32561966228000827,-0.017215980294873912,0.05492257160137011,-0.011190387191668044,0.03569967154089057,-91.58172867090767,push,-67.37056051608282,-432815.24969870964,71.60993655050619,338428.56013769226
tariff_8,HIGH,tariff_19,3,unseen_target,0,4726,7826.514594250844,-0.14673065186406822,0.28246734838919507,0.09221311475409837,0.3017197986755728,-0.018633214047644443,0.05245396181312356,-0.01211158913096889,0.03409507517853032,-98.7915290930979,push,-72.91656084084454,-466888.7664939807,64.2736015040143,303757.04070797155
tariff_13,LOW,tariff_8,1,history,20,251,3013.6298143269096,1.2299785186861136,0.3483499982850497,0.4117289677129745,0.9997929022783907,0.5738465305935987,0.3804512827783439,0.37300024488583916,0.24729333380592353,1120.0846587392032,call,1915.2332161339132,281141.24934354,1141.778421998156,286586.3839215372
tariff_8,MID,tariff_14,2,unseen_target,0,1720,4665.401101638306,0.3115398531246103,0.34416894347378846,0.09221311475409837,0.8173188366141688,0.03956220935364164,0.0708927903116899,0.02571543607986707,0.046080313702598436,115.97282381612125,digital_ads,134.8875388364662,199473.25696372855,155.93747203487501,268212.451899985
tariff_8,MID,tariff_19,3,unseen_target,0,1720,4665.401101638306,0.2787029389574315,0.3448017910625714,0.09221311475409837,0.7905407576669736,0.03539227456109401,0.06898494420724452,0.023004978464711112,0.044840213734708936,103.32745187242872,digital_ads,118.35128321779138,177723.2172205774,145.0996308888895,249571.36512888994
